,Aube,Disque,Coordinates
0,1,23,leftside
1,3,19,leftside
2,6,18,leftside
3,7,20,leftside
4,8,21,leftside
5,9,22,leftside
6,10,24,leftside
7,27,34,leftside
8,28,35,leftside
9,29,25,leftside
10,30,29,leftside
11,31,28,leftside
12,32,27,leftside
13,33,26,leftside
14,34,33,leftside
15,35,32,leftside
16,36,31,leftside
17,37,30,leftside
18,0,12,leftside
19,2,15,rightside
20,11,17,rightside
21,12,7,rightside
22,13,6,rightside
23,14,5,rightside
24,15,4,rightside
25,16,3,rightside
26,17,2,rightside
27,18,1,rightside
28,19,0,rightside
29,20,11,rightside
30,21,10,rightside
31,22,9,rightside
32,23,8,rightside
33,24,16,rightside
34,25,14,rightside
35,26,13,rightside
